Date,Log
2018-07-01 22:56:19.869386,Ready to materialize (mp4): Kino no Tabi- The Beautiful World Episode 8
2018-07-01 22:57:02.905420,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 9
2018-07-01 22:57:02.905420,Selected Fragment is unavailable.
2018-07-01 22:57:02.905420,Ready to materialize (mp4): Kino no Tabi- The Beautiful World Episode 9
2018-07-01 22:57:47.932654,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 10
2018-07-01 22:57:47.932654,Selected Fragment is unavailable.
2018-07-01 22:57:48.929366,Ready to materialize (mp4): Kino no Tabi- The Beautiful World Episode 10
2018-07-01 22:58:26.959805,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 11
2018-07-01 22:58:26.959805,Selected Fragment is unavailable.
2018-07-01 22:58:27.956569,Ready to materialize (mp4): Kino no Tabi- The Beautiful World Episode 11
2018-07-01 22:59:15.992285,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 12
2018-07-01 22:59:15.992285,Selected Fragment is unavailable.
2018-07-01 22:59:16.992945,Ready to materialize (mp4): Kino no Tabi- The Beautiful World Episode 12
2018-07-01 22:59:56.029752,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 13
2018-07-01 22:59:56.029752,Selected Fragment is unavailable.
2018-07-01 22:59:57.026462,Ready to materialize (mp4): Kino no Tabi- The Beautiful World Episode 13
2018-07-01 23:40:14.121057,Arrange Completed.
2018-07-01 23:40:44.139340,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 1
2018-07-02 00:06:36.528010,Copied World: Kino no Tabi- The Beautiful World
2018-07-02 00:17:04.894918,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 2
2018-07-02 01:07:03.087196,Save Completed.
2018-07-02 15:46:46.443564,Dokidoki Little Ooyasan Installed on AMORPHOUS MYSTERIUM.
2018-07-02 15:46:50.440389,Save Completed.
2018-07-02 17:51:21.657966,Arrange Completed.
2018-07-02 17:52:30.722827,Commencing Fragmentation: Dokidoki Little Ooyasan Episode 1
2018-07-02 17:54:17.619964,Please select a World to continue.
2018-07-02 18:09:02.328699,Commencing Fragmentation: Dokidoki Little Ooyasan Episode 1
2018-07-02 18:24:50.173590,1 World selected.
2018-07-02 18:24:57.174995,Toshi Densetsu Series populated with 4 Fragments.
2018-07-02 18:25:01.183167,Save Completed.
2018-07-03 21:15:51.157619,Copied World: Yama no Susume- Second Season
2018-07-03 21:16:21.292029,Current World already exist.
2018-07-03 21:17:18.522271,Ready to materialize (mp4): Yama no Susume- Third Season Episode 1
2018-07-03 21:20:13.624920,Hanebado! Installed on AMORPHOUS SAPIENTIA.
2018-07-03 21:20:18.628514,Save Completed.
2018-07-05 02:52:34.985267,Yuragi-sou no Yuuna-san Installed on AMORPHOUS SAPIENTIA.
2018-07-05 02:52:56.328438,Ready to materialize (mp4): Yuragi-sou no Yuuna-san Episode 1
2018-07-05 02:55:08.393906,Save Completed.
2018-07-05 21:31:08.528221,Please select a World to continue.
2018-07-05 21:31:11.527352,Back Street Girls- Gokudolls Installed on AMORPHOUS SAPIENTIA.
2018-07-05 21:31:13.528982,Save Completed.
2018-07-06 21:46:00.663613,Satsuriku no Tenshi Installed on AMORPHOUS SAPIENTIA.
2018-07-06 21:46:23.709698,Harukana Receive Installed on AMORPHOUS SAPIENTIA.
2018-07-06 21:46:41.776137,Ready to materialize (mp4): Satsuriku no Tenshi Episode 1
2018-07-06 21:47:39.939663,Ready to materialize (mp4): Harukana Receive Episode 1
2018-07-06 21:57:44.136023,1 World selected.
2018-07-06 21:58:03.124912,Save Completed.
2018-07-07 01:02:03.558700,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 3
2018-07-07 01:32:13.285357,Commencing Fragmentation: Kino no Tabi- The Beautiful World Episode 4
